geometry
"POLYGON ((41.5 9.5, 41.5 9, 41 9, 41 9.5, 41.5 9.5))"
"POLYGON ((42 9.5, 42 9, 41.5 9, 41.5 9.5, 42 9.5))"
"POLYGON ((42.5 9.5, 42.5 9, 42 9, 42 9.5, 42.5 9.5))"
"POLYGON ((43 9.5, 43 9, 42.5 9, 42.5 9.5, 43 9.5))"
"POLYGON ((43.5 9.5, 43.5 9, 43 9, 43 9.5, 43.5 9.5))"
"POLYGON ((44 9.5, 44 9, 43.5 9, 43.5 9.5, 44 9.5))"
"POLYGON ((44.5 9.5, 44.5 9, 44 9, 44 9.5, 44.5 9.5))"
"POLYGON ((45 9.5, 45 9, 44.5 9, 44.5 9.5, 45 9.5))"
"POLYGON ((45.5 9.5, 45.5 9, 45 9, 45 9.5, 45.5 9.5))"
"POLYGON ((46 9.5, 46 9, 45.5 9, 45.5 9.5, 46 9.5))"
"POLYGON ((46.5 9.5, 46.5 9, 46 9, 46 9.5, 46.5 9.5))"
"POLYGON ((47 9.5, 47 9, 46.5 9, 46.5 9.5, 47 9.5))"
"POLYGON ((47.5 9.5, 47.5 9, 47 9, 47 9.5, 47.5 9.5))"
"POLYGON ((48 9.5, 48 9, 47.5 9, 47.5 9.5, 48 9.5))"
"POLYGON ((48.5 9.5, 48.5 9, 48 9, 48 9.5, 48.5 9.5))"
"POLYGON ((49 9.5, 49 9, 48.5 9, 48.5 9.5, 49 9.5))"
"POLYGON ((49.5 9.5, 49.5 9, 49 9, 49 9.5, 49.5 9.5))"
"POLYGON ((50 9.5, 50 9, 49.5 9, 49.5 9.5, 50 9.5))"
"POLYGON ((50.5 9.5, 50.5 9, 50 9, 50 9.5, 50.5 9.5))"
"POLYGON ((-13 10, -13 9.5, -13.5 9.5, -13.5 10, -13 10))"
"POLYGON ((-12.5 10, -12.5 9.5, -13 9.5, -13 10, -12.5 10))"
"POLYGON ((-12 10, -12 9.5, -12.5 9.5, -12.5 10, -12 10))"
"POLYGON ((-11.5 10, -11.5 9.5, -12 9.5, -12 10, -11.5 10))"
"POLYGON ((-11 10, -11 9.5, -11.5 9.5, -11.5 10, -11 10))"
"POLYGON ((-10.5 10, -10.5 9.5, -11 9.5, -11 10, -10.5 10))"
"POLYGON ((-10 10, -10 9.5, -10.5 9.5, -10.5 10, -10 10))"
"POLYGON ((-9.5 10, -9.5 9.5, -10 9.5, -10 10, -9.5 10))"
"POLYGON ((-9 10, -9 9.5, -9.5 9.5, -9.5 10, -9 10))"
"POLYGON ((-8.5 10, -8.5 9.5, -9 9.5, -9 10, -8.5 10))"
"POLYGON ((-8 10, -8 9.5, -8.5 9.5, -8.5 10, -8 10))"
"POLYGON ((-7.5 10, -7.5 9.5, -8 9.5, -8 10, -7.5 10))"
"POLYGON ((-7 10, -7 9.5, -7.5 9.5, -7.5 10, -7 10))"
"POLYGON ((-6.5 10, -6.5 9.5, -7 9.5, -7 10, -6.5 10))"
"POLYGON ((-6 10, -6 9.5, -6.5 9.5, -6.5 10, -6 10))"
"POLYGON ((-5.5 10, -5.5 9.5, -6 9.5, -6 10, -5.5 10))"
"POLYGON ((-5 10, -5 9.5, -5.5 9.5, -5.5 10, -5 10))"
"POLYGON ((-4.5 10, -4.5 9.5, -5 9.5, -5 10, -4.5 10))"
"POLYGON ((-4 10, -4 9.5, -4.5 9.5, -4.5 10, -4 10))"
"POLYGON ((-3.5 10, -3.5 9.5, -4 9.5, -4 10, -3.5 10))"
"POLYGON ((-3 10, -3 9.5, -3.5 9.5, -3.5 10, -3 10))"
"POLYGON ((-2.5 10, -2.5 9.5, -3 9.5, -3 10, -2.5 10))"
"POLYGON ((-2 10, -2 9.5, -2.5 9.5, -2.5 10, -2 10))"
"POLYGON ((-1.5 10, -1.5 9.5, -2 9.5, -2 10, -1.5 10))"
"POLYGON ((-1 10, -1 9.5, -1.5 9.5, -1.5 10, -1 10))"
"POLYGON ((-0.5 10, -0.5 9.5, -1 9.5, -1 10, -0.5 10))"
"POLYGON ((0 10, 0 9.5, -0.5 9.5, -0.5 10, 0 10))"
"POLYGON ((0.5 10, 0.5 9.5, 0 9.5, 0 10, 0.5 10))"
"POLYGON ((1 10, 1 9.5, 0.5 9.5, 0.5 10, 1 10))"
"POLYGON ((1.5 10, 1.5 9.5, 1 9.5, 1 10, 1.5 10))"
"POLYGON ((2 10, 2 9.5, 1.5 9.5, 1.5 10, 2 10))"
"POLYGON ((2.5 10, 2.5 9.5, 2 9.5, 2 10, 2.5 10))"
"POLYGON ((3 10, 3 9.5, 2.5 9.5, 2.5 10, 3 10))"
"POLYGON ((3.5 10, 3.5 9.5, 3 9.5, 3 10, 3.5 10))"
"POLYGON ((4 10, 4 9.5, 3.5 9.5, 3.5 10, 4 10))"
"POLYGON ((4.5 10, 4.5 9.5, 4 9.5, 4 10, 4.5 10))"
"POLYGON ((5 10, 5 9.5, 4.5 9.5, 4.5 10, 5 10))"
"POLYGON ((5.5 10, 5.5 9.5, 5 9.5, 5 10, 5.5 10))"
"POLYGON ((6 10, 6 9.5, 5.5 9.5, 5.5 10, 6 10))"
"POLYGON ((6.5 10, 6.5 9.5, 6 9.5, 6 10, 6.5 10))"
"POLYGON ((7 10, 7 9.5, 6.5 9.5, 6.5 10, 7 10))"
"POLYGON ((7.5 10, 7.5 9.5, 7 9.5, 7 10, 7.5 10))"
"POLYGON ((8 10, 8 9.5, 7.5 9.5, 7.5 10, 8 10))"
"POLYGON ((8.5 10, 8.5 9.5, 8 9.5, 8 10, 8.5 10))"
"POLYGON ((9 10, 9 9.5, 8.5 9.5, 8.5 10, 9 10))"
"POLYGON ((9.5 10, 9.5 9.5, 9 9.5, 9 10, 9.5 10))"
"POLYGON ((10 10, 10 9.5, 9.5 9.5, 9.5 10, 10 10))"
"POLYGON ((10.5 10, 10.5 9.5, 10 9.5, 10 10, 10.5 10))"
"POLYGON ((11 10, 11 9.5, 10.5 9.5, 10.5 10, 11 10))"
"POLYGON ((11.5 10, 11.5 9.5, 11 9.5, 11 10, 11.5 10))"
"POLYGON ((12 10, 12 9.5, 11.5 9.5, 11.5 10, 12 10))"
"POLYGON ((12.5 10, 12.5 9.5, 12 9.5, 12 10, 12.5 10))"
"POLYGON ((13 10, 13 9.5, 12.5 9.5, 12.5 10, 13 10))"
"POLYGON ((13.5 10, 13.5 9.5, 13 9.5, 13 10, 13.5 10))"
"POLYGON ((14 10, 14 9.5, 13.5 9.5, 13.5 10, 14 10))"
"POLYGON ((14.5 10, 14.5 9.5, 14 9.5, 14 10, 14.5 10))"
"POLYGON ((15 10, 15 9.5, 14.5 9.5, 14.5 10, 15 10))"
"POLYGON ((15.5 10, 15.5 9.5, 15 9.5, 15 10, 15.5 10))"
"POLYGON ((16 10, 16 9.5, 15.5 9.5, 15.5 10, 16 10))"
"POLYGON ((16.5 10, 16.5 9.5, 16 9.5, 16 10, 16.5 10))"
"POLYGON ((17 10, 17 9.5, 16.5 9.5, 16.5 10, 17 10))"
"POLYGON ((17.5 10, 17.5 9.5, 17 9.5, 17 10, 17.5 10))"
"POLYGON ((18 10, 18 9.5, 17.5 9.5, 17.5 10, 18 10))"
"POLYGON ((18.5 10, 18.5 9.5, 18 9.5, 18 10, 18.5 10))"
"POLYGON ((19 10, 19 9.5, 18.5 9.5, 18.5 10, 19 10))"
"POLYGON ((19.5 10, 19.5 9.5, 19 9.5, 19 10, 19.5 10))"
"POLYGON ((20 10, 20 9.5, 19.5 9.5, 19.5 10, 20 10))"
"POLYGON ((20.5 10, 20.5 9.5, 20 9.5, 20 10, 20.5 10))"
"POLYGON ((21 10, 21 9.5, 20.5 9.5, 20.5 10, 21 10))"
"POLYGON ((21.5 10, 21.5 9.5, 21 9.5, 21 10, 21.5 10))"
"POLYGON ((22 10, 22 9.5, 21.5 9.5, 21.5 10, 22 10))"
"POLYGON ((22.5 10, 22.5 9.5, 22 9.5, 22 10, 22.5 10))"
"POLYGON ((23 10, 23 9.5, 22.5 9.5, 22.5 10, 23 10))"
"POLYGON ((23.5 10, 23.5 9.5, 23 9.5, 23 10, 23.5 10))"
"POLYGON ((24 10, 24 9.5, 23.5 9.5, 23.5 10, 24 10))"
"POLYGON ((24.5 10, 24.5 9.5, 24 9.5, 24 10, 24.5 10))"
"POLYGON ((25 10, 25 9.5, 24.5 9.5, 24.5 10, 25 10))"
"POLYGON ((25.5 10, 25.5 9.5, 25 9.5, 25 10, 25.5 10))"
"POLYGON ((26 10, 26 9.5, 25.5 9.5, 25.5 10, 26 10))"
"POLYGON ((26.5 10, 26.5 9.5, 26 9.5, 26 10, 26.5 10))"
"POLYGON ((27 10, 27 9.5, 26.5 9.5, 26.5 10, 27 10))"
"POLYGON ((27.5 10, 27.5 9.5, 27 9.5, 27 10, 27.5 10))"
"POLYGON ((28 10, 28 9.5, 27.5 9.5, 27.5 10, 28 10))"
"POLYGON ((28.5 10, 28.5 9.5, 28 9.5, 28 10, 28.5 10))"
"POLYGON ((29 10, 29 9.5, 28.5 9.5, 28.5 10, 29 10))"
"POLYGON ((29.5 10, 29.5 9.5, 29 9.5, 29 10, 29.5 10))"
"POLYGON ((30 10, 30 9.5, 29.5 9.5, 29.5 10, 30 10))"
"POLYGON ((30.5 10, 30.5 9.5, 30 9.5, 30 10, 30.5 10))"
"POLYGON ((31 10, 31 9.5, 30.5 9.5, 30.5 10, 31 10))"
"POLYGON ((31.5 10, 31.5 9.5, 31 9.5, 31 10, 31.5 10))"
"POLYGON ((32 10, 32 9.5, 31.5 9.5, 31.5 10, 32 10))"
"POLYGON ((32.5 10, 32.5 9.5, 32 9.5, 32 10, 32.5 10))"
"POLYGON ((33 10, 33 9.5, 32.5 9.5, 32.5 10, 33 10))"
"POLYGON ((33.5 10, 33.5 9.5, 33 9.5, 33 10, 33.5 10))"
"POLYGON ((34 10, 34 9.5, 33.5 9.5, 33.5 10, 34 10))"
"POLYGON ((34.5 10, 34.5 9.5, 34 9.5, 34 10, 34.5 10))"
"POLYGON ((35 10, 35 9.5, 34.5 9.5, 34.5 10, 35 10))"
"POLYGON ((35.5 10, 35.5 9.5, 35 9.5, 35 10, 35.5 10))"
"POLYGON ((36 10, 36 9.5, 35.5 9.5, 35.5 10, 36 10))"
"POLYGON ((36.5 10, 36.5 9.5, 36 9.5, 36 10, 36.5 10))"
"POLYGON ((37 10, 37 9.5, 36.5 9.5, 36.5 10, 37 10))"
"POLYGON ((37.5 10, 37.5 9.5, 37 9.5, 37 10, 37.5 10))"
"POLYGON ((38 10, 38 9.5, 37.5 9.5, 37.5 10, 38 10))"
"POLYGON ((38.5 10, 38.5 9.5, 38 9.5, 38 10, 38.5 10))"
"POLYGON ((39 10, 39 9.5, 38.5 9.5, 38.5 10, 39 10))"
"POLYGON ((39.5 10, 39.5 9.5, 39 9.5, 39 10, 39.5 10))"
"POLYGON ((40 10, 40 9.5, 39.5 9.5, 39.5 10, 40 10))"
"POLYGON ((40.5 10, 40.5 9.5, 40 9.5, 40 10, 40.5 10))"
"POLYGON ((41 10, 41 9.5, 40.5 9.5, 40.5 10, 41 10))"
"POLYGON ((41.5 10, 41.5 9.5, 41 9.5, 41 10, 41.5 10))"
"POLYGON ((42 10, 42 9.5, 41.5 9.5, 41.5 10, 42 10))"
"POLYGON ((42.5 10, 42.5 9.5, 42 9.5, 42 10, 42.5 10))"
"POLYGON ((43 10, 43 9.5, 42.5 9.5, 42.5 10, 43 10))"
"POLYGON ((43.5 10, 43.5 9.5, 43 9.5, 43 10, 43.5 10))"
"POLYGON ((44 10, 44 9.5, 43.5 9.5, 43.5 10, 44 10))"
"POLYGON ((44.5 10, 44.5 9.5, 44 9.5, 44 10, 44.5 10))"
"POLYGON ((45 10, 45 9.5, 44.5 9.5, 44.5 10, 45 10))"
"POLYGON ((45.5 10, 45.5 9.5, 45 9.5, 45 10, 45.5 10))"
"POLYGON ((46 10, 46 9.5, 45.5 9.5, 45.5 10, 46 10))"
"POLYGON ((46.5 10, 46.5 9.5, 46 9.5, 46 10, 46.5 10))"
"POLYGON ((47 10, 47 9.5, 46.5 9.5, 46.5 10, 47 10))"
"POLYGON ((47.5 10, 47.5 9.5, 47 9.5, 47 10, 47.5 10))"
"POLYGON ((48 10, 48 9.5, 47.5 9.5, 47.5 10, 48 10))"
"POLYGON ((48.5 10, 48.5 9.5, 48 9.5, 48 10, 48.5 10))"
"POLYGON ((49 10, 49 9.5, 48.5 9.5, 48.5 10, 49 10))"
"POLYGON ((49.5 10, 49.5 9.5, 49 9.5, 49 10, 49.5 10))"
"POLYGON ((50 10, 50 9.5, 49.5 9.5, 49.5 10, 50 10))"
"POLYGON ((50.5 10, 50.5 9.5, 50 9.5, 50 10, 50.5 10))"
"POLYGON ((51 10, 51 9.5, 50.5 9.5, 50.5 10, 51 10))"
"POLYGON ((-14 10.5, -14 10, -14.5 10, -14.5 10.5, -14 10.5))"
"POLYGON ((-13.5 10.5, -13.5 10, -14 10, -14 10.5, -13.5 10.5))"
"POLYGON ((-13 10.5, -13 10, -13.5 10, -13.5 10.5, -13 10.5))"
"POLYGON ((-12.5 10.5, -12.5 10, -13 10, -13 10.5, -12.5 10.5))"
"POLYGON ((-12 10.5, -12 10, -12.5 10, -12.5 10.5, -12 10.5))"
"POLYGON ((-11.5 10.5, -11.5 10, -12 10, -12 10.5, -11.5 10.5))"
"POLYGON ((-11 10.5, -11 10, -11.5 10, -11.5 10.5, -11 10.5))"
"POLYGON ((-10.5 10.5, -10.5 10, -11 10, -11 10.5, -10.5 10.5))"
"POLYGON ((-10 10.5, -10 10, -10.5 10, -10.5 10.5, -10 10.5))"
"POLYGON ((-9.5 10.5, -9.5 10, -10 10, -10 10.5, -9.5 10.5))"
"POLYGON ((-9 10.5, -9 10, -9.5 10, -9.5 10.5, -9 10.5))"
"POLYGON ((-8.5 10.5, -8.5 10, -9 10, -9 10.5, -8.5 10.5))"
"POLYGON ((-8 10.5, -8 10, -8.5 10, -8.5 10.5, -8 10.5))"
"POLYGON ((-7.5 10.5, -7.5 10, -8 10, -8 10.5, -7.5 10.5))"
"POLYGON ((-7 10.5, -7 10, -7.5 10, -7.5 10.5, -7 10.5))"
"POLYGON ((-6.5 10.5, -6.5 10, -7 10, -7 10.5, -6.5 10.5))"
"POLYGON ((-6 10.5, -6 10, -6.5 10, -6.5 10.5, -6 10.5))"
"POLYGON ((-5.5 10.5, -5.5 10, -6 10, -6 10.5, -5.5 10.5))"
"POLYGON ((-5 10.5, -5 10, -5.5 10, -5.5 10.5, -5 10.5))"
"POLYGON ((-4.5 10.5, -4.5 10, -5 10, -5 10.5, -4.5 10.5))"
"POLYGON ((-4 10.5, -4 10, -4.5 10, -4.5 10.5, -4 10.5))"
"POLYGON ((-3.5 10.5, -3.5 10, -4 10, -4 10.5, -3.5 10.5))"
"POLYGON ((-3 10.5, -3 10, -3.5 10, -3.5 10.5, -3 10.5))"
"POLYGON ((-2.5 10.5, -2.5 10, -3 10, -3 10.5, -2.5 10.5))"
"POLYGON ((-2 10.5, -2 10, -2.5 10, -2.5 10.5, -2 10.5))"
"POLYGON ((-1.5 10.5, -1.5 10, -2 10, -2 10.5, -1.5 10.5))"
"POLYGON ((-1 10.5, -1 10, -1.5 10, -1.5 10.5, -1 10.5))"
"POLYGON ((-0.5 10.5, -0.5 10, -1 10, -1 10.5, -0.5 10.5))"
"POLYGON ((0 10.5, 0 10, -0.5 10, -0.5 10.5, 0 10.5))"
"POLYGON ((0.5 10.5, 0.5 10, 0 10, 0 10.5, 0.5 10.5))"
"POLYGON ((1 10.5, 1 10, 0.5 10, 0.5 10.5, 1 10.5))"
"POLYGON ((1.5 10.5, 1.5 10, 1 10, 1 10.5, 1.5 10.5))"
"POLYGON ((2 10.5, 2 10, 1.5 10, 1.5 10.5, 2 10.5))"
"POLYGON ((2.5 10.5, 2.5 10, 2 10, 2 10.5, 2.5 10.5))"
"POLYGON ((3 10.5, 3 10, 2.5 10, 2.5 10.5, 3 10.5))"
"POLYGON ((3.5 10.5, 3.5 10, 3 10, 3 10.5, 3.5 10.5))"
"POLYGON ((4 10.5, 4 10, 3.5 10, 3.5 10.5, 4 10.5))"
"POLYGON ((4.5 10.5, 4.5 10, 4 10, 4 10.5, 4.5 10.5))"
"POLYGON ((5 10.5, 5 10, 4.5 10, 4.5 10.5, 5 10.5))"
"POLYGON ((5.5 10.5, 5.5 10, 5 10, 5 10.5, 5.5 10.5))"
"POLYGON ((6 10.5, 6 10, 5.5 10, 5.5 10.5, 6 10.5))"
"POLYGON ((6.5 10.5, 6.5 10, 6 10, 6 10.5, 6.5 10.5))"
"POLYGON ((7 10.5, 7 10, 6.5 10, 6.5 10.5, 7 10.5))"
"POLYGON ((7.5 10.5, 7.5 10, 7 10, 7 10.5, 7.5 10.5))"
"POLYGON ((8 10.5, 8 10, 7.5 10, 7.5 10.5, 8 10.5))"
"POLYGON ((8.5 10.5, 8.5 10, 8 10, 8 10.5, 8.5 10.5))"
"POLYGON ((9 10.5, 9 10, 8.5 10, 8.5 10.5, 9 10.5))"
"POLYGON ((9.5 10.5, 9.5 10, 9 10, 9 10.5, 9.5 10.5))"
"POLYGON ((10 10.5, 10 10, 9.5 10, 9.5 10.5, 10 10.5))"
"POLYGON ((10.5 10.5, 10.5 10, 10 10, 10 10.5, 10.5 10.5))"
"POLYGON ((11 10.5, 11 10, 10.5 10, 10.5 10.5, 11 10.5))"
"POLYGON ((11.5 10.5, 11.5 10, 11 10, 11 10.5, 11.5 10.5))"
"POLYGON ((12 10.5, 12 10, 11.5 10, 11.5 10.5, 12 10.5))"
"POLYGON ((12.5 10.5, 12.5 10, 12 10, 12 10.5, 12.5 10.5))"
"POLYGON ((13 10.5, 13 10, 12.5 10, 12.5 10.5, 13 10.5))"
"POLYGON ((13.5 10.5, 13.5 10, 13 10, 13 10.5, 13.5 10.5))"
"POLYGON ((14 10.5, 14 10, 13.5 10, 13.5 10.5, 14 10.5))"
"POLYGON ((14.5 10.5, 14.5 10, 14 10, 14 10.5, 14.5 10.5))"
"POLYGON ((15 10.5, 15 10, 14.5 10, 14.5 10.5, 15 10.5))"
"POLYGON ((15.5 10.5, 15.5 10, 15 10, 15 10.5, 15.5 10.5))"
"POLYGON ((16 10.5, 16 10, 15.5 10, 15.5 10.5, 16 10.5))"
"POLYGON ((16.5 10.5, 16.5 10, 16 10, 16 10.5, 16.5 10.5))"
"POLYGON ((17 10.5, 17 10, 16.5 10, 16.5 10.5, 17 10.5))"
"POLYGON ((17.5 10.5, 17.5 10, 17 10, 17 10.5, 17.5 10.5))"
"POLYGON ((18 10.5, 18 10, 17.5 10, 17.5 10.5, 18 10.5))"
"POLYGON ((18.5 10.5, 18.5 10, 18 10, 18 10.5, 18.5 10.5))"
"POLYGON ((19 10.5, 19 10, 18.5 10, 18.5 10.5, 19 10.5))"
"POLYGON ((19.5 10.5, 19.5 10, 19 10, 19 10.5, 19.5 10.5))"
"POLYGON ((20 10.5, 20 10, 19.5 10, 19.5 10.5, 20 10.5))"
"POLYGON ((20.5 10.5, 20.5 10, 20 10, 20 10.5, 20.5 10.5))"
"POLYGON ((21 10.5, 21 10, 20.5 10, 20.5 10.5, 21 10.5))"
"POLYGON ((21.5 10.5, 21.5 10, 21 10, 21 10.5, 21.5 10.5))"
"POLYGON ((22 10.5, 22 10, 21.5 10, 21.5 10.5, 22 10.5))"
"POLYGON ((22.5 10.5, 22.5 10, 22 10, 22 10.5, 22.5 10.5))"
"POLYGON ((23 10.5, 23 10, 22.5 10, 22.5 10.5, 23 10.5))"
"POLYGON ((23.5 10.5, 23.5 10, 23 10, 23 10.5, 23.5 10.5))"
"POLYGON ((24 10.5, 24 10, 23.5 10, 23.5 10.5, 24 10.5))"
"POLYGON ((24.5 10.5, 24.5 10, 24 10, 24 10.5, 24.5 10.5))"
"POLYGON ((25 10.5, 25 10, 24.5 10, 24.5 10.5, 25 10.5))"
"POLYGON ((25.5 10.5, 25.5 10, 25 10, 25 10.5, 25.5 10.5))"
"POLYGON ((26 10.5, 26 10, 25.5 10, 25.5 10.5, 26 10.5))"
"POLYGON ((26.5 10.5, 26.5 10, 26 10, 26 10.5, 26.5 10.5))"
"POLYGON ((27 10.5, 27 10, 26.5 10, 26.5 10.5, 27 10.5))"
"POLYGON ((27.5 10.5, 27.5 10, 27 10, 27 10.5, 27.5 10.5))"
"POLYGON ((28 10.5, 28 10, 27.5 10, 27.5 10.5, 28 10.5))"
"POLYGON ((28.5 10.5, 28.5 10, 28 10, 28 10.5, 28.5 10.5))"
"POLYGON ((29 10.5, 29 10, 28.5 10, 28.5 10.5, 29 10.5))"
"POLYGON ((29.5 10.5, 29.5 10, 29 10, 29 10.5, 29.5 10.5))"
"POLYGON ((30 10.5, 30 10, 29.5 10, 29.5 10.5, 30 10.5))"
"POLYGON ((30.5 10.5, 30.5 10, 30 10, 30 10.5, 30.5 10.5))"
"POLYGON ((31 10.5, 31 10, 30.5 10, 30.5 10.5, 31 10.5))"
"POLYGON ((31.5 10.5, 31.5 10, 31 10, 31 10.5, 31.5 10.5))"
"POLYGON ((32 10.5, 32 10, 31.5 10, 31.5 10.5, 32 10.5))"
"POLYGON ((32.5 10.5, 32.5 10, 32 10, 32 10.5, 32.5 10.5))"
"POLYGON ((33 10.5, 33 10, 32.5 10, 32.5 10.5, 33 10.5))"
"POLYGON ((33.5 10.5, 33.5 10, 33 10, 33 10.5, 33.5 10.5))"
"POLYGON ((34 10.5, 34 10, 33.5 10, 33.5 10.5, 34 10.5))"
"POLYGON ((34.5 10.5, 34.5 10, 34 10, 34 10.5, 34.5 10.5))"
"POLYGON ((35 10.5, 35 10, 34.5 10, 34.5 10.5, 35 10.5))"
"POLYGON ((35.5 10.5, 35.5 10, 35 10, 35 10.5, 35.5 10.5))"
"POLYGON ((36 10.5, 36 10, 35.5 10, 35.5 10.5, 36 10.5))"
"POLYGON ((36.5 10.5, 36.5 10, 36 10, 36 10.5, 36.5 10.5))"
"POLYGON ((37 10.5, 37 10, 36.5 10, 36.5 10.5, 37 10.5))"
"POLYGON ((37.5 10.5, 37.5 10, 37 10, 37 10.5, 37.5 10.5))"
"POLYGON ((38 10.5, 38 10, 37.5 10, 37.5 10.5, 38 10.5))"
"POLYGON ((38.5 10.5, 38.5 10, 38 10, 38 10.5, 38.5 10.5))"
"POLYGON ((39 10.5, 39 10, 38.5 10, 38.5 10.5, 39 10.5))"
"POLYGON ((39.5 10.5, 39.5 10, 39 10, 39 10.5, 39.5 10.5))"
"POLYGON ((40 10.5, 40 10, 39.5 10, 39.5 10.5, 40 10.5))"
"POLYGON ((40.5 10.5, 40.5 10, 40 10, 40 10.5, 40.5 10.5))"
"POLYGON ((41 10.5, 41 10, 40.5 10, 40.5 10.5, 41 10.5))"
"POLYGON ((41.5 10.5, 41.5 10, 41 10, 41 10.5, 41.5 10.5))"
"POLYGON ((42 10.5, 42 10, 41.5 10, 41.5 10.5, 42 10.5))"
"POLYGON ((42.5 10.5, 42.5 10, 42 10, 42 10.5, 42.5 10.5))"
"POLYGON ((43 10.5, 43 10, 42.5 10, 42.5 10.5, 43 10.5))"
"POLYGON ((43.5 10.5, 43.5 10, 43 10, 43 10.5, 43.5 10.5))"
"POLYGON ((44 10.5, 44 10, 43.5 10, 43.5 10.5, 44 10.5))"
"POLYGON ((44.5 10.5, 44.5 10, 44 10, 44 10.5, 44.5 10.5))"
"POLYGON ((45 10.5, 45 10, 44.5 10, 44.5 10.5, 45 10.5))"
"POLYGON ((45.5 10.5, 45.5 10, 45 10, 45 10.5, 45.5 10.5))"
"POLYGON ((46 10.5, 46 10, 45.5 10, 45.5 10.5, 46 10.5))"
"POLYGON ((46.5 10.5, 46.5 10, 46 10, 46 10.5, 46.5 10.5))"
"POLYGON ((47 10.5, 47 10, 46.5 10, 46.5 10.5, 47 10.5))"
"POLYGON ((47.5 10.5, 47.5 10, 47 10, 47 10.5, 47.5 10.5))"
"POLYGON ((48 10.5, 48 10, 47.5 10, 47.5 10.5, 48 10.5))"
"POLYGON ((48.5 10.5, 48.5 10, 48 10, 48 10.5, 48.5 10.5))"
"POLYGON ((49 10.5, 49 10, 48.5 10, 48.5 10.5, 49 10.5))"
"POLYGON ((49.5 10.5, 49.5 10, 49 10, 49 10.5, 49.5 10.5))"
"POLYGON ((50 10.5, 50 10, 49.5 10, 49.5 10.5, 50 10.5))"
"POLYGON ((50.5 10.5, 50.5 10, 50 10, 50 10.5, 50.5 10.5))"
"POLYGON ((51 10.5, 51 10, 50.5 10, 50.5 10.5, 51 10.5))"
"POLYGON ((-14 11, -14 10.5, -14.5 10.5, -14.5 11, -14 11))"
"POLYGON ((-13.5 11, -13.5 10.5, -14 10.5, -14 11, -13.5 11))"
"POLYGON ((-13 11, -13 10.5, -13.5 10.5, -13.5 11, -13 11))"
"POLYGON ((-12.5 11, -12.5 10.5, -13 10.5, -13 11, -12.5 11))"
"POLYGON ((-12 11, -12 10.5, -12.5 10.5, -12.5 11, -12 11))"
"POLYGON ((-11.5 11, -11.5 10.5, -12 10.5, -12 11, -11.5 11))"
"POLYGON ((-11 11, -11 10.5, -11.5 10.5, -11.5 11, -11 11))"
"POLYGON ((-10.5 11, -10.5 10.5, -11 10.5, -11 11, -10.5 11))"
"POLYGON ((-10 11, -10 10.5, -10.5 10.5, -10.5 11, -10 11))"
"POLYGON ((-9.5 11, -9.5 10.5, -10 10.5, -10 11, -9.5 11))"
"POLYGON ((-9 11, -9 10.5, -9.5 10.5, -9.5 11, -9 11))"
"POLYGON ((-8.5 11, -8.5 10.5, -9 10.5, -9 11, -8.5 11))"
"POLYGON ((-8 11, -8 10.5, -8.5 10.5, -8.5 11, -8 11))"
"POLYGON ((-7.5 11, -7.5 10.5, -8 10.5, -8 11, -7.5 11))"
"POLYGON ((-7 11, -7 10.5, -7.5 10.5, -7.5 11, -7 11))"
"POLYGON ((-6.5 11, -6.5 10.5, -7 10.5, -7 11, -6.5 11))"
"POLYGON ((-6 11, -6 10.5, -6.5 10.5, -6.5 11, -6 11))"
"POLYGON ((-5.5 11, -5.5 10.5, -6 10.5, -6 11, -5.5 11))"
"POLYGON ((-5 11, -5 10.5, -5.5 10.5, -5.5 11, -5 11))"
"POLYGON ((-4.5 11, -4.5 10.5, -5 10.5, -5 11, -4.5 11))"
"POLYGON ((-4 11, -4 10.5, -4.5 10.5, -4.5 11, -4 11))"
"POLYGON ((-3.5 11, -3.5 10.5, -4 10.5, -4 11, -3.5 11))"
"POLYGON ((-3 11, -3 10.5, -3.5 10.5, -3.5 11, -3 11))"
"POLYGON ((-2.5 11, -2.5 10.5, -3 10.5, -3 11, -2.5 11))"
"POLYGON ((-2 11, -2 10.5, -2.5 10.5, -2.5 11, -2 11))"
"POLYGON ((-1.5 11, -1.5 10.5, -2 10.5, -2 11, -1.5 11))"
"POLYGON ((-1 11, -1 10.5, -1.5 10.5, -1.5 11, -1 11))"
"POLYGON ((-0.5 11, -0.5 10.5, -1 10.5, -1 11, -0.5 11))"
"POLYGON ((0 11, 0 10.5, -0.5 10.5, -0.5 11, 0 11))"
"POLYGON ((0.5 11, 0.5 10.5, 0 10.5, 0 11, 0.5 11))"
"POLYGON ((1 11, 1 10.5, 0.5 10.5, 0.5 11, 1 11))"
"POLYGON ((1.5 11, 1.5 10.5, 1 10.5, 1 11, 1.5 11))"
"POLYGON ((2 11, 2 10.5, 1.5 10.5, 1.5 11, 2 11))"
"POLYGON ((2.5 11, 2.5 10.5, 2 10.5, 2 11, 2.5 11))"
"POLYGON ((3 11, 3 10.5, 2.5 10.5, 2.5 11, 3 11))"
"POLYGON ((3.5 11, 3.5 10.5, 3 10.5, 3 11, 3.5 11))"
"POLYGON ((4 11, 4 10.5, 3.5 10.5, 3.5 11, 4 11))"
