geometry
"POLYGON ((21.5 -31.5, 21.5 -32, 21 -32, 21 -31.5, 21.5 -31.5))"
"POLYGON ((22 -31.5, 22 -32, 21.5 -32, 21.5 -31.5, 22 -31.5))"
"POLYGON ((22.5 -31.5, 22.5 -32, 22 -32, 22 -31.5, 22.5 -31.5))"
"POLYGON ((23 -31.5, 23 -32, 22.5 -32, 22.5 -31.5, 23 -31.5))"
"POLYGON ((23.5 -31.5, 23.5 -32, 23 -32, 23 -31.5, 23.5 -31.5))"
"POLYGON ((24 -31.5, 24 -32, 23.5 -32, 23.5 -31.5, 24 -31.5))"
"POLYGON ((24.5 -31.5, 24.5 -32, 24 -32, 24 -31.5, 24.5 -31.5))"
"POLYGON ((25 -31.5, 25 -32, 24.5 -32, 24.5 -31.5, 25 -31.5))"
"POLYGON ((25.5 -31.5, 25.5 -32, 25 -32, 25 -31.5, 25.5 -31.5))"
"POLYGON ((26 -31.5, 26 -32, 25.5 -32, 25.5 -31.5, 26 -31.5))"
"POLYGON ((26.5 -31.5, 26.5 -32, 26 -32, 26 -31.5, 26.5 -31.5))"
"POLYGON ((27 -31.5, 27 -32, 26.5 -32, 26.5 -31.5, 27 -31.5))"
"POLYGON ((27.5 -31.5, 27.5 -32, 27 -32, 27 -31.5, 27.5 -31.5))"
"POLYGON ((28 -31.5, 28 -32, 27.5 -32, 27.5 -31.5, 28 -31.5))"
"POLYGON ((28.5 -31.5, 28.5 -32, 28 -32, 28 -31.5, 28.5 -31.5))"
"POLYGON ((29 -31.5, 29 -32, 28.5 -32, 28.5 -31.5, 29 -31.5))"
"POLYGON ((29.5 -31.5, 29.5 -32, 29 -32, 29 -31.5, 29.5 -31.5))"
"POLYGON ((18.5 -31, 18.5 -31.5, 18 -31.5, 18 -31, 18.5 -31))"
"POLYGON ((19 -31, 19 -31.5, 18.5 -31.5, 18.5 -31, 19 -31))"
"POLYGON ((19.5 -31, 19.5 -31.5, 19 -31.5, 19 -31, 19.5 -31))"
"POLYGON ((20 -31, 20 -31.5, 19.5 -31.5, 19.5 -31, 20 -31))"
"POLYGON ((20.5 -31, 20.5 -31.5, 20 -31.5, 20 -31, 20.5 -31))"
"POLYGON ((21 -31, 21 -31.5, 20.5 -31.5, 20.5 -31, 21 -31))"
"POLYGON ((21.5 -31, 21.5 -31.5, 21 -31.5, 21 -31, 21.5 -31))"
"POLYGON ((22 -31, 22 -31.5, 21.5 -31.5, 21.5 -31, 22 -31))"
"POLYGON ((22.5 -31, 22.5 -31.5, 22 -31.5, 22 -31, 22.5 -31))"
"POLYGON ((23 -31, 23 -31.5, 22.5 -31.5, 22.5 -31, 23 -31))"
"POLYGON ((23.5 -31, 23.5 -31.5, 23 -31.5, 23 -31, 23.5 -31))"
"POLYGON ((24 -31, 24 -31.5, 23.5 -31.5, 23.5 -31, 24 -31))"
"POLYGON ((24.5 -31, 24.5 -31.5, 24 -31.5, 24 -31, 24.5 -31))"
"POLYGON ((25 -31, 25 -31.5, 24.5 -31.5, 24.5 -31, 25 -31))"
"POLYGON ((25.5 -31, 25.5 -31.5, 25 -31.5, 25 -31, 25.5 -31))"
"POLYGON ((26 -31, 26 -31.5, 25.5 -31.5, 25.5 -31, 26 -31))"
"POLYGON ((26.5 -31, 26.5 -31.5, 26 -31.5, 26 -31, 26.5 -31))"
"POLYGON ((27 -31, 27 -31.5, 26.5 -31.5, 26.5 -31, 27 -31))"
"POLYGON ((27.5 -31, 27.5 -31.5, 27 -31.5, 27 -31, 27.5 -31))"
"POLYGON ((28 -31, 28 -31.5, 27.5 -31.5, 27.5 -31, 28 -31))"
"POLYGON ((28.5 -31, 28.5 -31.5, 28 -31.5, 28 -31, 28.5 -31))"
"POLYGON ((29 -31, 29 -31.5, 28.5 -31.5, 28.5 -31, 29 -31))"
"POLYGON ((29.5 -31, 29.5 -31.5, 29 -31.5, 29 -31, 29.5 -31))"
"POLYGON ((30 -31, 30 -31.5, 29.5 -31.5, 29.5 -31, 30 -31))"
"POLYGON ((18 -30.5, 18 -31, 17.5 -31, 17.5 -30.5, 18 -30.5))"
"POLYGON ((18.5 -30.5, 18.5 -31, 18 -31, 18 -30.5, 18.5 -30.5))"
"POLYGON ((19 -30.5, 19 -31, 18.5 -31, 18.5 -30.5, 19 -30.5))"
"POLYGON ((19.5 -30.5, 19.5 -31, 19 -31, 19 -30.5, 19.5 -30.5))"
"POLYGON ((20 -30.5, 20 -31, 19.5 -31, 19.5 -30.5, 20 -30.5))"
"POLYGON ((20.5 -30.5, 20.5 -31, 20 -31, 20 -30.5, 20.5 -30.5))"
"POLYGON ((21 -30.5, 21 -31, 20.5 -31, 20.5 -30.5, 21 -30.5))"
"POLYGON ((21.5 -30.5, 21.5 -31, 21 -31, 21 -30.5, 21.5 -30.5))"
"POLYGON ((22 -30.5, 22 -31, 21.5 -31, 21.5 -30.5, 22 -30.5))"
"POLYGON ((22.5 -30.5, 22.5 -31, 22 -31, 22 -30.5, 22.5 -30.5))"
"POLYGON ((23 -30.5, 23 -31, 22.5 -31, 22.5 -30.5, 23 -30.5))"
"POLYGON ((23.5 -30.5, 23.5 -31, 23 -31, 23 -30.5, 23.5 -30.5))"
"POLYGON ((24 -30.5, 24 -31, 23.5 -31, 23.5 -30.5, 24 -30.5))"
"POLYGON ((24.5 -30.5, 24.5 -31, 24 -31, 24 -30.5, 24.5 -30.5))"
"POLYGON ((25 -30.5, 25 -31, 24.5 -31, 24.5 -30.5, 25 -30.5))"
"POLYGON ((25.5 -30.5, 25.5 -31, 25 -31, 25 -30.5, 25.5 -30.5))"
"POLYGON ((26 -30.5, 26 -31, 25.5 -31, 25.5 -30.5, 26 -30.5))"
"POLYGON ((26.5 -30.5, 26.5 -31, 26 -31, 26 -30.5, 26.5 -30.5))"
"POLYGON ((27 -30.5, 27 -31, 26.5 -31, 26.5 -30.5, 27 -30.5))"
"POLYGON ((27.5 -30.5, 27.5 -31, 27 -31, 27 -30.5, 27.5 -30.5))"
"POLYGON ((28 -30.5, 28 -31, 27.5 -31, 27.5 -30.5, 28 -30.5))"
"POLYGON ((28.5 -30.5, 28.5 -31, 28 -31, 28 -30.5, 28.5 -30.5))"
"POLYGON ((29 -30.5, 29 -31, 28.5 -31, 28.5 -30.5, 29 -30.5))"
"POLYGON ((29.5 -30.5, 29.5 -31, 29 -31, 29 -30.5, 29.5 -30.5))"
"POLYGON ((30 -30.5, 30 -31, 29.5 -31, 29.5 -30.5, 30 -30.5))"
"POLYGON ((30.5 -30.5, 30.5 -31, 30 -31, 30 -30.5, 30.5 -30.5))"
"POLYGON ((17.5 -30, 17.5 -30.5, 17 -30.5, 17 -30, 17.5 -30))"
"POLYGON ((18 -30, 18 -30.5, 17.5 -30.5, 17.5 -30, 18 -30))"
"POLYGON ((18.5 -30, 18.5 -30.5, 18 -30.5, 18 -30, 18.5 -30))"
"POLYGON ((19 -30, 19 -30.5, 18.5 -30.5, 18.5 -30, 19 -30))"
"POLYGON ((19.5 -30, 19.5 -30.5, 19 -30.5, 19 -30, 19.5 -30))"
"POLYGON ((20 -30, 20 -30.5, 19.5 -30.5, 19.5 -30, 20 -30))"
"POLYGON ((20.5 -30, 20.5 -30.5, 20 -30.5, 20 -30, 20.5 -30))"
"POLYGON ((21 -30, 21 -30.5, 20.5 -30.5, 20.5 -30, 21 -30))"
"POLYGON ((21.5 -30, 21.5 -30.5, 21 -30.5, 21 -30, 21.5 -30))"
"POLYGON ((22 -30, 22 -30.5, 21.5 -30.5, 21.5 -30, 22 -30))"
"POLYGON ((22.5 -30, 22.5 -30.5, 22 -30.5, 22 -30, 22.5 -30))"
"POLYGON ((23 -30, 23 -30.5, 22.5 -30.5, 22.5 -30, 23 -30))"
"POLYGON ((23.5 -30, 23.5 -30.5, 23 -30.5, 23 -30, 23.5 -30))"
"POLYGON ((24 -30, 24 -30.5, 23.5 -30.5, 23.5 -30, 24 -30))"
"POLYGON ((24.5 -30, 24.5 -30.5, 24 -30.5, 24 -30, 24.5 -30))"
"POLYGON ((25 -30, 25 -30.5, 24.5 -30.5, 24.5 -30, 25 -30))"
"POLYGON ((25.5 -30, 25.5 -30.5, 25 -30.5, 25 -30, 25.5 -30))"
"POLYGON ((26 -30, 26 -30.5, 25.5 -30.5, 25.5 -30, 26 -30))"
"POLYGON ((26.5 -30, 26.5 -30.5, 26 -30.5, 26 -30, 26.5 -30))"
"POLYGON ((27 -30, 27 -30.5, 26.5 -30.5, 26.5 -30, 27 -30))"
"POLYGON ((27.5 -30, 27.5 -30.5, 27 -30.5, 27 -30, 27.5 -30))"
"POLYGON ((28 -30, 28 -30.5, 27.5 -30.5, 27.5 -30, 28 -30))"
"POLYGON ((28.5 -30, 28.5 -30.5, 28 -30.5, 28 -30, 28.5 -30))"
"POLYGON ((29 -30, 29 -30.5, 28.5 -30.5, 28.5 -30, 29 -30))"
"POLYGON ((29.5 -30, 29.5 -30.5, 29 -30.5, 29 -30, 29.5 -30))"
"POLYGON ((30 -30, 30 -30.5, 29.5 -30.5, 29.5 -30, 30 -30))"
"POLYGON ((30.5 -30, 30.5 -30.5, 30 -30.5, 30 -30, 30.5 -30))"
"POLYGON ((17.5 -29.5, 17.5 -30, 17 -30, 17 -29.5, 17.5 -29.5))"
"POLYGON ((18 -29.5, 18 -30, 17.5 -30, 17.5 -29.5, 18 -29.5))"
"POLYGON ((18.5 -29.5, 18.5 -30, 18 -30, 18 -29.5, 18.5 -29.5))"
"POLYGON ((19 -29.5, 19 -30, 18.5 -30, 18.5 -29.5, 19 -29.5))"
"POLYGON ((19.5 -29.5, 19.5 -30, 19 -30, 19 -29.5, 19.5 -29.5))"
"POLYGON ((20 -29.5, 20 -30, 19.5 -30, 19.5 -29.5, 20 -29.5))"
"POLYGON ((20.5 -29.5, 20.5 -30, 20 -30, 20 -29.5, 20.5 -29.5))"
"POLYGON ((21 -29.5, 21 -30, 20.5 -30, 20.5 -29.5, 21 -29.5))"
"POLYGON ((21.5 -29.5, 21.5 -30, 21 -30, 21 -29.5, 21.5 -29.5))"
"POLYGON ((22 -29.5, 22 -30, 21.5 -30, 21.5 -29.5, 22 -29.5))"
"POLYGON ((22.5 -29.5, 22.5 -30, 22 -30, 22 -29.5, 22.5 -29.5))"
"POLYGON ((23 -29.5, 23 -30, 22.5 -30, 22.5 -29.5, 23 -29.5))"
"POLYGON ((23.5 -29.5, 23.5 -30, 23 -30, 23 -29.5, 23.5 -29.5))"
"POLYGON ((24 -29.5, 24 -30, 23.5 -30, 23.5 -29.5, 24 -29.5))"
"POLYGON ((24.5 -29.5, 24.5 -30, 24 -30, 24 -29.5, 24.5 -29.5))"
"POLYGON ((25 -29.5, 25 -30, 24.5 -30, 24.5 -29.5, 25 -29.5))"
"POLYGON ((25.5 -29.5, 25.5 -30, 25 -30, 25 -29.5, 25.5 -29.5))"
"POLYGON ((26 -29.5, 26 -30, 25.5 -30, 25.5 -29.5, 26 -29.5))"
"POLYGON ((26.5 -29.5, 26.5 -30, 26 -30, 26 -29.5, 26.5 -29.5))"
"POLYGON ((27 -29.5, 27 -30, 26.5 -30, 26.5 -29.5, 27 -29.5))"
"POLYGON ((27.5 -29.5, 27.5 -30, 27 -30, 27 -29.5, 27.5 -29.5))"
"POLYGON ((28 -29.5, 28 -30, 27.5 -30, 27.5 -29.5, 28 -29.5))"
"POLYGON ((28.5 -29.5, 28.5 -30, 28 -30, 28 -29.5, 28.5 -29.5))"
"POLYGON ((29 -29.5, 29 -30, 28.5 -30, 28.5 -29.5, 29 -29.5))"
"POLYGON ((29.5 -29.5, 29.5 -30, 29 -30, 29 -29.5, 29.5 -29.5))"
"POLYGON ((30 -29.5, 30 -30, 29.5 -30, 29.5 -29.5, 30 -29.5))"
"POLYGON ((30.5 -29.5, 30.5 -30, 30 -30, 30 -29.5, 30.5 -29.5))"
"POLYGON ((31 -29.5, 31 -30, 30.5 -30, 30.5 -29.5, 31 -29.5))"
"POLYGON ((17.5 -29, 17.5 -29.5, 17 -29.5, 17 -29, 17.5 -29))"
"POLYGON ((18 -29, 18 -29.5, 17.5 -29.5, 17.5 -29, 18 -29))"
"POLYGON ((18.5 -29, 18.5 -29.5, 18 -29.5, 18 -29, 18.5 -29))"
"POLYGON ((19 -29, 19 -29.5, 18.5 -29.5, 18.5 -29, 19 -29))"
"POLYGON ((19.5 -29, 19.5 -29.5, 19 -29.5, 19 -29, 19.5 -29))"
"POLYGON ((20 -29, 20 -29.5, 19.5 -29.5, 19.5 -29, 20 -29))"
"POLYGON ((20.5 -29, 20.5 -29.5, 20 -29.5, 20 -29, 20.5 -29))"
"POLYGON ((21 -29, 21 -29.5, 20.5 -29.5, 20.5 -29, 21 -29))"
"POLYGON ((21.5 -29, 21.5 -29.5, 21 -29.5, 21 -29, 21.5 -29))"
"POLYGON ((22 -29, 22 -29.5, 21.5 -29.5, 21.5 -29, 22 -29))"
"POLYGON ((22.5 -29, 22.5 -29.5, 22 -29.5, 22 -29, 22.5 -29))"
"POLYGON ((23 -29, 23 -29.5, 22.5 -29.5, 22.5 -29, 23 -29))"
"POLYGON ((23.5 -29, 23.5 -29.5, 23 -29.5, 23 -29, 23.5 -29))"
"POLYGON ((24 -29, 24 -29.5, 23.5 -29.5, 23.5 -29, 24 -29))"
"POLYGON ((24.5 -29, 24.5 -29.5, 24 -29.5, 24 -29, 24.5 -29))"
"POLYGON ((25 -29, 25 -29.5, 24.5 -29.5, 24.5 -29, 25 -29))"
"POLYGON ((25.5 -29, 25.5 -29.5, 25 -29.5, 25 -29, 25.5 -29))"
"POLYGON ((26 -29, 26 -29.5, 25.5 -29.5, 25.5 -29, 26 -29))"
"POLYGON ((26.5 -29, 26.5 -29.5, 26 -29.5, 26 -29, 26.5 -29))"
"POLYGON ((27 -29, 27 -29.5, 26.5 -29.5, 26.5 -29, 27 -29))"
"POLYGON ((27.5 -29, 27.5 -29.5, 27 -29.5, 27 -29, 27.5 -29))"
"POLYGON ((28 -29, 28 -29.5, 27.5 -29.5, 27.5 -29, 28 -29))"
"POLYGON ((28.5 -29, 28.5 -29.5, 28 -29.5, 28 -29, 28.5 -29))"
"POLYGON ((29 -29, 29 -29.5, 28.5 -29.5, 28.5 -29, 29 -29))"
"POLYGON ((29.5 -29, 29.5 -29.5, 29 -29.5, 29 -29, 29.5 -29))"
"POLYGON ((30 -29, 30 -29.5, 29.5 -29.5, 29.5 -29, 30 -29))"
"POLYGON ((30.5 -29, 30.5 -29.5, 30 -29.5, 30 -29, 30.5 -29))"
"POLYGON ((31 -29, 31 -29.5, 30.5 -29.5, 30.5 -29, 31 -29))"
"POLYGON ((31.5 -29, 31.5 -29.5, 31 -29.5, 31 -29, 31.5 -29))"
"POLYGON ((17 -28.5, 17 -29, 16.5 -29, 16.5 -28.5, 17 -28.5))"
"POLYGON ((17.5 -28.5, 17.5 -29, 17 -29, 17 -28.5, 17.5 -28.5))"
"POLYGON ((18 -28.5, 18 -29, 17.5 -29, 17.5 -28.5, 18 -28.5))"
"POLYGON ((18.5 -28.5, 18.5 -29, 18 -29, 18 -28.5, 18.5 -28.5))"
"POLYGON ((19 -28.5, 19 -29, 18.5 -29, 18.5 -28.5, 19 -28.5))"
"POLYGON ((19.5 -28.5, 19.5 -29, 19 -29, 19 -28.5, 19.5 -28.5))"
"POLYGON ((20 -28.5, 20 -29, 19.5 -29, 19.5 -28.5, 20 -28.5))"
"POLYGON ((20.5 -28.5, 20.5 -29, 20 -29, 20 -28.5, 20.5 -28.5))"
"POLYGON ((21 -28.5, 21 -29, 20.5 -29, 20.5 -28.5, 21 -28.5))"
"POLYGON ((21.5 -28.5, 21.5 -29, 21 -29, 21 -28.5, 21.5 -28.5))"
"POLYGON ((22 -28.5, 22 -29, 21.5 -29, 21.5 -28.5, 22 -28.5))"
"POLYGON ((22.5 -28.5, 22.5 -29, 22 -29, 22 -28.5, 22.5 -28.5))"
"POLYGON ((23 -28.5, 23 -29, 22.5 -29, 22.5 -28.5, 23 -28.5))"
"POLYGON ((23.5 -28.5, 23.5 -29, 23 -29, 23 -28.5, 23.5 -28.5))"
"POLYGON ((24 -28.5, 24 -29, 23.5 -29, 23.5 -28.5, 24 -28.5))"
"POLYGON ((24.5 -28.5, 24.5 -29, 24 -29, 24 -28.5, 24.5 -28.5))"
"POLYGON ((25 -28.5, 25 -29, 24.5 -29, 24.5 -28.5, 25 -28.5))"
"POLYGON ((25.5 -28.5, 25.5 -29, 25 -29, 25 -28.5, 25.5 -28.5))"
"POLYGON ((26 -28.5, 26 -29, 25.5 -29, 25.5 -28.5, 26 -28.5))"
"POLYGON ((26.5 -28.5, 26.5 -29, 26 -29, 26 -28.5, 26.5 -28.5))"
"POLYGON ((27 -28.5, 27 -29, 26.5 -29, 26.5 -28.5, 27 -28.5))"
"POLYGON ((27.5 -28.5, 27.5 -29, 27 -29, 27 -28.5, 27.5 -28.5))"
"POLYGON ((28 -28.5, 28 -29, 27.5 -29, 27.5 -28.5, 28 -28.5))"
"POLYGON ((28.5 -28.5, 28.5 -29, 28 -29, 28 -28.5, 28.5 -28.5))"
"POLYGON ((29 -28.5, 29 -29, 28.5 -29, 28.5 -28.5, 29 -28.5))"
"POLYGON ((29.5 -28.5, 29.5 -29, 29 -29, 29 -28.5, 29.5 -28.5))"
"POLYGON ((30 -28.5, 30 -29, 29.5 -29, 29.5 -28.5, 30 -28.5))"
"POLYGON ((30.5 -28.5, 30.5 -29, 30 -29, 30 -28.5, 30.5 -28.5))"
"POLYGON ((31 -28.5, 31 -29, 30.5 -29, 30.5 -28.5, 31 -28.5))"
"POLYGON ((31.5 -28.5, 31.5 -29, 31 -29, 31 -28.5, 31.5 -28.5))"
"POLYGON ((32 -28.5, 32 -29, 31.5 -29, 31.5 -28.5, 32 -28.5))"
"POLYGON ((16.5 -28, 16.5 -28.5, 16 -28.5, 16 -28, 16.5 -28))"
"POLYGON ((17 -28, 17 -28.5, 16.5 -28.5, 16.5 -28, 17 -28))"
"POLYGON ((17.5 -28, 17.5 -28.5, 17 -28.5, 17 -28, 17.5 -28))"
"POLYGON ((18 -28, 18 -28.5, 17.5 -28.5, 17.5 -28, 18 -28))"
"POLYGON ((18.5 -28, 18.5 -28.5, 18 -28.5, 18 -28, 18.5 -28))"
"POLYGON ((19 -28, 19 -28.5, 18.5 -28.5, 18.5 -28, 19 -28))"
"POLYGON ((19.5 -28, 19.5 -28.5, 19 -28.5, 19 -28, 19.5 -28))"
"POLYGON ((20 -28, 20 -28.5, 19.5 -28.5, 19.5 -28, 20 -28))"
"POLYGON ((20.5 -28, 20.5 -28.5, 20 -28.5, 20 -28, 20.5 -28))"
"POLYGON ((21 -28, 21 -28.5, 20.5 -28.5, 20.5 -28, 21 -28))"
"POLYGON ((21.5 -28, 21.5 -28.5, 21 -28.5, 21 -28, 21.5 -28))"
"POLYGON ((22 -28, 22 -28.5, 21.5 -28.5, 21.5 -28, 22 -28))"
"POLYGON ((22.5 -28, 22.5 -28.5, 22 -28.5, 22 -28, 22.5 -28))"
"POLYGON ((23 -28, 23 -28.5, 22.5 -28.5, 22.5 -28, 23 -28))"
